"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-01","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","45",",,7","29",",,7","38",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-02","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","51",",,7","38",",,7","45",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-03","0.03",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","45",",,7","38",",,7","38",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-04","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","38",",,7","30",",,7","30",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-05","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","46",",,7","25",",,7","35",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-06","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","42",",,7","25",",,7","29",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-07","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","43",",,7","24",",,7","35",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-08","0.00",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","35",",,7","22",",,7","24",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-09","0.15",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","53",",,7","24",",,7","43",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-10","1.37",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","56",",,7","24",",,7","55",",,7,2400",,,,
"USC00123082","FRANKFORT DISPOSAL, IN US","40.2986","-86.5066","251.2","2020-01-11","1.20",",,7,2400","0.0",",,7,2400","0.0",",,7,2400","61",",,7","34",",,7","34",",,7,2400",,,,
